variable_name,type,description
profit_per_order,numerical,Earnings per order placed
sales_per_customer,numerical,Total sales per customer made per customer
category_id,numerical,Product category code
category_name,text,Description of the product category
customer_city,categorical,City where the customer made the purchase
customer_country,categorical,Country where the customer made the purchase
customer_segment,categorical,"Types of Customers Consumer, Corporate, Home Office"
customer_state,categorical,State to which the store where the purchase is registered belongs
department_id,numerical,Department code of store
department_name,text,Department name of store
market,categorical,"Market to where the order is delivered: Africa, Europe, LATAM, Pacific Asia, USCA"
order_city,categorical,Destination city of the order
order_country,categorical,Destination country of the order
order_date,datetime,Date on which the order is made
order_item_discount,numerical,Order item discount value
order_item_discount_rate,numerical,Order item discount percentage
order_item_product_price,numerical,Price of products without discount
order_item_profit_ratio,numerical,Order Item Profit Ratio
order_item_quantity,numerical,Number of products per order
sales,numerical,Value in sales
order_item_total_amount,numerical,Total amount per order
order_profit_per_order,numerical,Order Profit Per Order
order_region,categorical,"Region of the world where the order is delivered Southeast Asia, South Asia,Oceania, Eastern Asia, West Asia, West of USA, US Center, West Africa, Central Africa ,North Africa, Western Europe ,Northern, Caribbean, South America, East Africa, Southern Europe, East of USA, Canada, Southern Africa, Central Asia,  Europe, Central America, Eastern Europe, South of USA"
order_state,categorical,State of the region where the order is delivered
order_status,categorical,"Order Status: COMPLETE, PENDING, CLOSED, PENDING_PAYMENT, CANCELED, PROCESSING, SUSPECTED_FRAUD, ON_HOLD, PAYMENT_REVIEW"
product_card_id,numerical,Product code
product_category_id,numerical,Product category code
product_name,text,Product name
product_price,numerical,Product price
shipping_date,datetime,Exact date and time of shipment
shipping_mode,categorical,"The following shipping modes are presented: Standard Class, First Class, Second Class, Same Day"
